G_RIGHT PROXIMAL,G_RIGHT MIDDLE,G_RIGHT DISTAL,G_LEFT PROXIMAL,G_LEFT MIDDLE,G_LEFT DISTAL,S_Scrap
2.9696,4.2851,3.9339,3.2607,3.7203,3.4327,0
4.0134,4.6128,3.2336,3.7658,3.8079,3.9771,0
2.9757,3.8599,2.3548,2.857,3.1368,3.3137,0
2.669,3.6045,2.5481,2.3197,2.7458,3.0936,0
2.7708,3.7936,2.5072,2.818,3.4237,3.5537,0
3.3977,4.2985,3.1262,3.5109,3.4953,3.8611,0
2.8967,3.8607,2.3605,3.0857,3.6622,3.7152,0
3.0593,4.661,2.9954,3.4106,4.1616,3.6918,0
3.2924,4.6664,2.9524,3.7028,3.9349,3.7955,0
3.6829,4.7319,2.947,3.7997,3.6099,3.7974,0
3.5047,4.3541,2.8448,3.8322,3.8578,4.0991,0
3.7632,4.5053,2.7196,3.8471,3.6199,3.7273,0
2.8119,3.7029,2.4315,3.025,3.1138,3.2259,0
2.6497,3.9425,2.4617,2.9178,3.2225,3.2015,0
3.1282,4.2767,3.6787,3.0961,3.4997,3.3277,0
3.1047,4.3695,2.5567,3.605,4.2508,3.7686,0
2.8122,4.069,2.5904,2.9672,3.4415,3.457,0
2.9903,4.2596,2.8979,3.4259,3.6894,3.481,0
2.6654,4.1203,2.6539,3.0372,3.3754,3.3986,0
3.519,4.7059,3.6856,3.7095,3.9785,3.5704,0
2.4661,3.4441,2.0943,2.2906,2.452,2.7822,0
4.1437,4.1364,2.4142,4.1267,3.233,3.3396,0
3.4899,4.4407,2.912,3.4721,3.6833,3.8133,0
3.3696,4.7512,3.671,3.5268,4.3647,3.7649,0
2.8167,4.0812,2.3742,2.6657,3.5895,3.2752,0
3.5078,4.6867,3.0504,3.5417,3.9167,3.8519,0
3.5259,4.3994,3.1468,3.8789,3.7662,3.8642,0
3.4973,4.5201,3.0132,3.676,4.0192,3.7454,0
3.8086,4.6358,2.7326,4.1879,4.2888,3.9467,0
3.5056,4.5922,2.9397,3.696,3.7373,3.7869,0
2.6221,3.2588,2.2511,2.7462,2.2651,2.9901,0
3.1556,4.2094,3.5516,3.2497,3.464,3.15,0
2.9248,4.0014,2.7695,2.5907,3.0764,3.3029,0
3.1654,4.4903,2.7395,3.389,4.0305,3.281,0
3.6308,4.4543,3.1169,3.7402,3.4681,3.7875,0
4.6068,4.0923,2.3835,4.5428,3.3769,3.3172,0
2.9134,4.296,2.7784,3.7371,3.5112,3.5858,0
2.5541,3.3774,2.0646,2.7371,2.8931,3.152,0
3.7146,4.3473,3.6997,4.0273,3.9222,3.4277,0
3.0158,3.9204,2.9792,3.0496,3.592,3.2597,0
3.3406,4.3905,3.0314,3.373,3.7297,3.4578,0
2.9795,3.8623,2.5767,3.0725,3.0319,3.4852,0
3.2267,4.2721,2.6765,2.9044,3.0348,2.9489,0
2.7184,3.9055,2.2536,2.8249,3.3299,3.3254,0
3.5686,4.8837,3.3046,3.7147,3.9604,3.9841,0
2.1909,3.3975,2.07,1.9936,2.4672,2.8521,0
2.9431,3.8138,2.294,2.6192,3.1213,3.0015,0
2.9419,4.0007,2.5413,2.9327,3.8283,3.2568,0
3.1486,4.2815,3.8836,3.2516,3.4451,3.3658,0
3.0747,4.4687,3.3076,3.2932,3.5139,3.6604,0
3.5763,4.5885,2.9159,3.6914,3.9287,3.8943,0
2.8878,3.9944,2.8115,2.9801,3.3065,3.3381,0
3.6414,4.6726,5.3516,4.0194,4.3595,5.8814,0
3.8547,4.4865,2.8536,3.8762,3.7959,3.7453,0
4.1044,4.7632,3.0206,3.9613,4.1746,4.047,0
2.5452,3.3412,2.4404,2.397,2.6324,2.7608,0
3.462,4.5447,3.774,3.4702,4.0105,3.7185,0
2.8772,3.8428,2.4225,2.9833,3.5522,3.3982,0
4.1391,4.6463,3.0945,4.1551,3.7267,3.9758,1
3.8738,4.7035,2.9485,3.8854,3.8364,3.6975,0
3.1591,4.2422,3.642,3.1542,3.4434,3.5782,0
2.9971,4.2429,2.4598,3.1483,3.488,3.5311,0
2.5866,3.8956,2.7232,2.67,3.1049,3.2025,0
2.4429,3.4406,2.2131,2.6429,2.5032,2.6824,0
2.9485,4.0553,1.8292,2.9142,3.1765,2.854,0
4.103,4.9441,3.9898,4.1597,4.5117,3.9861,0
3.7602,4.5444,2.9703,3.8779,3.8153,3.8958,0
2.9125,4.1215,2.4862,3.1801,3.623,3.2818,0
3.0591,4.2215,2.5086,3.2579,3.4876,3.3616,0
2.5181,4.0436,3.5384,2.8453,3.4753,3.4379,0
3.3838,4.5398,3.1005,3.5007,3.9418,3.6299,0
2.9709,4.2239,3.633,3.096,3.5022,3.5457,0
2.4861,3.6078,2.0603,2.8688,3.016,2.7256,0
3.6433,4.2217,2.9087,3.5334,3.4777,3.2389,1
3.332,4.5702,2.8789,3.8146,3.7726,3.811,0
2.3131,3.2143,2.3578,2.7861,3.03,2.7931,0
3.5169,4.147,2.92,3.3855,3.3971,3.6771,0
3.7356,3.7978,2.455,4.1652,3.3866,3.3514,0
3.3817,4.5283,2.5248,3.1926,3.506,3.4684,0
3.2465,4.3131,4.1151,3.2171,3.5448,3.8124,0
3.4903,4.4647,3.8107,3.5684,3.8419,3.6206,0
3.6765,4.6683,3.8587,3.8369,4.4291,3.9206,0
3.8977,4.8251,3.1098,3.8543,4.0291,4.1272,0
3.1229,4.5207,3.9931,3.0915,3.3846,3.0477,0
2.3896,4.7639,2.189,2.7314,4.0654,3.0504,0
2.6252,4.1476,2.4824,2.8246,3.3252,3.3095,0
2.9069,4.0887,2.5259,3.0809,3.5538,3.202,0
3.8341,4.5525,3.0635,3.7172,3.3855,3.881,0
3.1282,3.918,2.6109,3.2738,3.5655,3.5269,0
3.4509,4.7621,3.268,3.5809,3.8474,3.9299,0
3.7231,4.5838,2.8988,3.937,4.1961,3.9216,0
2.9874,3.6859,2.3637,2.7351,3.0464,3.3351,0
3.2553,3.9215,2.8137,3.2691,3.2451,3.3865,0
3.2862,4.3787,3.6147,3.3243,3.7462,3.483,0
2.4318,3.6496,2.3383,2.8001,3.21,3.1418,0
3.9115,4.5652,2.664,4.2798,3.7468,4.1857,1
2.9154,4.0782,2.2353,3.3038,3.6795,3.4605,0
3.3731,4.2033,2.7626,3.1709,3.2482,3.1823,0
3.2564,4.5032,2.9879,3.5222,3.8983,3.7623,0
2.7011,4.1492,3.6634,3.0851,3.3122,3.1731,0
4.0762,4.7943,3.453,3.8452,3.884,3.8474,0
3.2197,4.2686,2.7156,3.1593,3.4328,3.4025,0
2.8305,3.8682,2.199,3.1758,3.383,3.0702,0
3.4507,4.6041,3.8902,3.9091,4.4416,3.913,0
2.7657,4.1194,2.5415,2.6706,3.2641,3.2661,0
2.9622,3.9681,2.4894,3.4127,3.5602,3.0338,0
2.8926,3.887,2.4519,2.7877,3.0448,3.3917,0
2.8758,3.8441,3.9247,2.7751,2.8666,3.3095,0
3.3617,4.5935,2.968,3.7566,4.0476,4.0431,1
3.8062,4.9134,3.188,3.7356,3.9297,3.7905,0
2.9805,4.2657,3.1731,3.2047,3.5402,3.2096,0
3.0713,4.1679,2.2777,3.4586,3.8749,3.3459,0
3.5066,4.4392,2.7736,3.9431,3.7347,3.97,0
2.0536,3.2024,2.08,2.3755,2.3481,2.9395,0
2.8479,3.6218,2.6986,2.6729,2.6839,3.0943,0
3.8515,4.6746,3.1582,3.6933,3.5493,3.8309,0
2.8099,4.043,2.4223,3.0154,3.3092,2.9441,0
3.4256,4.6354,3.0117,3.4966,3.6724,3.6763,0
3.503,4.1542,2.9589,3.6769,3.4399,3.8056,0
3.2712,4.232,3.6843,3.1631,3.4653,3.3391,0
4.0686,4.8271,3.4902,3.8725,3.9098,3.782,0
2.9009,3.9665,3.3549,2.7992,3.1202,3.0113,0
2.1698,3.6815,3.3538,3.0852,3.22,2.9571,0
2.7264,3.8081,2.5532,2.8461,3.2584,3.6546,0
3.0918,4.0217,2.5591,2.9399,3.4447,3.2843,0
3.2948,4.5225,2.9505,3.609,3.815,3.8867,0
3.1356,4.3297,2.7103,3.5069,3.7565,3.7375,0
3.4346,4.3963,2.8885,3.8398,4.1064,3.8797,0
2.88,3.7153,2.6903,2.7177,3.249,3.6426,0
3.0902,3.7473,2.4499,3.1693,3.527,3.3105,0
2.1955,3.7064,2.3197,2.2427,3.061,3.3019,0
2.8959,4.0839,3.2726,2.6787,3.6014,3.3187,0
3.1329,4.4097,3.5014,3.4791,3.9449,3.3652,0
3.0083,3.9504,2.3911,2.7979,2.8746,3.156,0
3.1219,4.5134,2.9476,3.3622,3.5587,3.5145,0
4.6992,4.3706,3.4972,4.6529,3.9839,3.6864,0
3.6441,4.5808,3.3464,3.7881,3.8058,3.9438,0
2.7649,3.8557,2.3673,2.9255,3.5236,3.419,0
2.9522,4.3167,3.372,3.1035,3.7181,3.425,0
3.6413,4.7177,3.051,3.9079,4.2145,3.8108,1
3.7854,4.7839,3.1652,3.7645,4.0743,3.9726,0
3.0392,3.9838,2.5584,2.9961,3.1658,3.2713,0
3.564,3.9499,3.0088,3.1672,2.6769,3.4151,0
3.2854,3.985,2.6455,3.0106,3.3184,3.1777,0
2.9685,3.8943,2.6871,2.8851,3.068,3.2292,0
3.0662,4.1344,2.9409,3.0314,3.4033,3.284,0
3.1047,4.2018,2.8944,3.3989,3.8389,3.9807,0
2.5413,3.8669,2.6636,2.6115,3.078,3.0337,0
2.6176,3.6471,2.2484,2.9644,2.9905,2.9013,0
2.9614,4.177,2.9936,3.152,3.5765,3.4627,0
3.3577,4.8104,3.8267,3.8186,4.5518,3.797,0
3.5671,4.5074,3.0831,3.553,3.9316,3.7754,0
3.2671,3.8621,3.3683,3.1288,3.0047,2.8811,0
3.8331,4.8281,2.9798,4.0751,3.657,4.0943,0
3.4052,4.3246,3.7373,3.4908,3.8538,3.7693,0
2.4586,3.8416,2.3896,2.9588,3.1571,3.32,0
2.8073,4.1646,3.4105,2.6517,3.4717,3.0984,0
3.7805,3.5481,2.1279,3.7609,3.2501,3.4504,0
3.5621,4.6122,2.73,3.7876,3.7285,3.709,0
3.6796,4.7481,2.8718,3.7599,3.9566,3.6414,0
1.7931,3.8831,3.0297,2.621,2.8572,3.3723,0
2.7057,4.3427,3.5236,3.0581,3.7074,3.4412,0
3.6732,4.7296,3.1238,3.6804,3.8342,3.7416,0
3.5735,4.707,2.8108,3.5056,3.9251,3.773,0
3.155,4.2833,3.3644,3.7924,3.8773,3.6364,0
3.6248,4.376,2.9679,3.6748,3.7634,3.7862,0
3.6801,4.5676,2.8843,3.8299,3.9119,3.8882,0
3.6014,4.6567,3.0356,3.691,4.031,3.8343,0
3.5698,4.3901,3.0792,3.7232,3.7394,3.677,0
3.0975,4.2648,3.9087,3.6193,4.1984,3.5426,0
3.9651,4.7253,3.1352,4.2164,4.1911,3.7094,0
4.1781,4.8445,3.029,3.8554,3.8062,3.7819,0
2.9958,4.1286,3.1271,2.9658,3.58,3.2419,0
2.9344,4.0701,2.2604,3.2822,3.6789,3.6325,0
3.5021,4.3746,3.183,3.8136,3.8444,4.0239,0
2.474,3.6211,2.3965,2.8575,3.283,3.3683,0
2.7682,3.6687,3.6027,3.218,3.7094,3.6801,0
3.3385,4.5288,2.7603,3.7111,3.6288,3.9148,0
3.7746,4.6981,2.7286,3.7727,3.7553,3.8775,0
3.4232,3.9355,2.668,3.227,2.914,3.328,0
2.5553,3.5733,2.1817,2.6541,2.6058,2.8022,0
2.9752,4.0635,2.5862,2.5654,3.0416,2.7962,0
2.7801,3.8346,3.2593,2.6879,3.5445,3.1938,0
3.1821,3.9034,2.818,3.1327,3.0443,3.4286,0
2.7452,4.2049,2.4837,3.1682,4.0161,3.4802,0
2.8133,3.7249,2.1929,2.6841,3.17,3.1164,0
2.8532,3.9005,2.4023,3.1119,3.3764,3.2779,0
2.7098,4.036,2.4104,2.9612,3.368,3.4476,0
3.1139,4.1243,2.4858,3.0966,3.4009,3.2482,0
3.0344,4.2131,2.9976,3.0539,3.3984,3.4608,0
2.6542,4.2797,2.7764,2.9231,3.5339,3.3079,0
3.7889,4.5417,2.9586,3.5986,3.6734,3.8063,0
2.1587,4.1439,2.4743,2.7325,2.9656,3.1832,0
2.1129,3.7553,2.5474,2.0575,2.9197,2.8864,0
3.5133,4.3612,2.565,3.6547,3.6286,3.4583,0
2.2757,3.7011,2.3633,2.585,3.1307,3.2049,0
2.4481,3.6789,2.3047,2.6904,3.1424,2.9267,0
3.0709,3.9108,2.4574,3.1049,3.5483,3.2708,0
3.9677,4.5596,3.0685,3.8145,3.7048,3.7755,1
2.8983,4.1442,3.4834,3.0392,3.304,3.2002,0
2.6291,3.9856,3.2656,2.4206,2.9877,3.1601,0
2.9487,3.8396,3.0177,2.973,3.2902,3.165,1
3.2796,4.4352,2.5495,3.2879,3.5104,2.9412,0
3.6989,4.5627,3.0882,3.6935,3.7387,3.9776,0
3.5088,4.2699,3.3827,3.7388,3.5184,3.9927,0
3.3203,4.3688,3.6546,3.6522,3.7357,3.4025,0
3.794,4.726,2.7458,3.8811,3.7482,4.0757,0
2.8289,3.6671,2.4581,2.8214,2.6933,2.711,0
3.2862,4.5408,3.5081,3.8005,4.0043,3.3504,0
3.1609,4.3754,3.4932,3.2772,3.6943,3.2565,0
2.8824,4.3327,2.7429,3.2638,3.8074,3.4231,0
2.6567,4.3434,2.3163,2.5375,2.9814,2.954,0
3.2595,4.4283,3.2442,3.5828,3.7128,3.8295,0
3.7568,4.5075,3.141,4.109,3.5855,3.9375,0
2.5753,4.1605,3.3866,3.5251,3.6502,3.282,0
3.6581,4.6296,2.9764,3.9608,3.832,3.7567,0
3.5632,4.4227,2.8447,3.7862,4.0222,3.9804,0
2.7158,4.3128,2.5362,2.941,3.5909,3.4413,0
3.2862,4.5909,3.5059,3.4753,3.9501,3.5863,0
2.4944,3.4665,2.428,2.808,2.7129,2.7548,0
2.9788,3.9717,2.4485,3.3386,3.3218,3.4527,0
3.7107,4.5488,2.8829,3.8297,3.8687,3.783,0
3.5892,4.3166,2.8696,3.9033,3.4785,3.8838,0
3.2583,4.0568,3.8214,3.234,3.2334,3.2816,0
3.2511,4.4767,3.9119,3.8901,4.3987,4.0562,0
3.6155,4.4307,2.9406,3.5554,3.6609,3.7521,1
2.3933,3.443,2.097,2.3164,2.365,2.4781,0
3.1277,4.3737,3.3733,3.1508,3.2951,3.191,0
3.0009,4.3075,1.773,4.1688,3.8805,3.8029,0
3.7647,4.5623,2.7955,3.812,3.9499,3.8292,0
2.8195,3.411,2.5293,2.8312,2.9208,3.1072,0
3.9474,3.7356,2.5495,3.6631,3.125,3.2703,0
2.8116,3.8916,2.5622,2.9302,3.5103,3.5719,0
3.7844,3.6465,2.0663,3.6877,3.6134,2.7717,0
3.2156,4.0024,3.6459,3.1511,3.2776,3.2905,0
2.0013,4.0087,2.9129,2.8816,3.2756,3.8376,0
3.9318,4.7494,3.6128,4.2298,4.5417,4.2193,0
3.334,4.4629,3.87,3.3459,3.7319,3.5476,0
2.4782,3.8188,2.2472,2.8929,3.4896,3.2546,0
2.7291,4.0871,2.439,3.1676,3.4421,3.4104,0
3.831,4.8718,2.8054,3.3879,3.6502,3.3781,0
3.4981,4.3986,2.8518,3.4318,3.6443,3.9257,0
3.0723,4.3863,2.5744,3.4855,3.887,3.3442,0
3.4077,4.289,2.8517,3.6233,3.67,3.755,0
2.3069,4.1073,2.724,2.5407,3.3068,3.677,0
2.9077,3.9337,2.4863,2.7406,3.1309,3.359,0
4.0867,4.3009,3.5223,3.8886,3.74,3.249,0
4.0776,3.5072,2.0356,4.1026,2.7878,2.96,0
4.2828,3.8695,2.259,4.0682,3.5402,3.5363,0
3.6163,4.6183,3.0187,3.9823,4.3285,4.1372,0
3.6807,4.5926,3.1478,3.8293,4.048,3.8283,0
2.8068,4.033,2.7596,2.9523,3.2904,3.0736,0
3.2983,4.8913,3.1912,3.5395,4.0539,3.2629,0
3.3233,3.8525,2.5984,3.0862,3.1399,3.396,0
3.0273,3.9809,2.9381,3.0102,3.3811,2.7874,0
3.3298,4.3116,3.5252,3.4895,3.7212,3.4124,0
3.5584,4.6666,3.1644,3.4211,3.7162,3.6773,0
3.8944,4.7462,2.8747,4.0411,4.0193,3.6701,0
2.8617,4.807,3.1335,3.5629,4.3696,3.8196,0
3.1216,3.9115,2.6482,2.7391,2.9783,3.2599,0
4.2797,3.9457,2.6039,4.1295,3.3481,3.2866,0
3.0285,4.0504,2.7617,2.9297,3.4348,3.2589,0
3.3772,4.408,3.5738,3.454,3.9321,3.4522,0
3.1882,4.4475,3.0443,3.1222,3.5427,3.434,0
2.5054,3.7005,1.8588,3.0769,3.3955,3.2768,0
3.3183,4.1739,3.1975,3.4387,3.5082,3.685,0
2.6247,3.4277,2.1704,2.6881,3.1897,3.3657,0
2.4455,3.9399,2.7005,3.0656,3.685,3.1567,0
3.4407,4.5638,3.7274,3.3641,3.7697,3.4519,0
3.6642,4.5129,3.0224,3.5695,3.7358,4.0732,0
3.4061,4.8621,3.1817,3.7215,4.3248,3.7584,0
3.6126,4.4514,3.0912,3.3854,3.3245,3.4974,0
3.4743,4.3356,2.8189,3.7351,3.7253,3.7779,0
3.0795,4.1154,3.0547,3.1209,3.6061,3.1563,0
2.8933,4.4677,3.9064,3.7629,4.3624,4.0307,0
3.0088,4.3333,2.9697,3.1334,3.6862,3.304,0
3.1018,4.1731,2.9055,3.0149,3.1968,3.7908,0
3.1529,4.1877,2.9204,3.3235,3.629,3.7726,0
3.4407,4.6362,2.5153,3.6805,4.3509,3.6202,0
3.6641,4.7372,2.6917,3.8978,4.1054,3.7356,1
3.1937,4.1808,2.5745,3.0984,3.2987,3.4239,0
4.0939,4.7517,2.9539,4.3248,3.8536,3.9541,0
3.4859,4.7176,3.0267,3.6983,3.7405,3.8658,0
3.4588,3.9554,2.549,3.4631,3.3122,3.3689,0
3.6155,4.4285,3.1345,3.5669,3.5293,3.8618,0
3.0272,4.1647,3.0722,3.1523,3.4711,3.4168,0
3.1979,4.4203,3.0312,3.4987,4.1967,3.7018,0
2.8189,4.0139,3.2942,3.0037,3.6745,3.2769,0
3.5582,4.5151,2.7232,3.2023,3.5477,3.511,0
3.0569,4.0534,2.5556,2.946,3.0056,3.213,0
3.1838,4.5351,3.1408,3.7295,4.0778,3.6985,0
2.5913,3.8322,2.1647,2.8712,3.3053,3.0273,0
2.595,3.7183,2.3821,2.6224,2.9282,2.9407,0
3.618,4.1273,1.5001,3.4256,3.0761,2.2386,0
3.1721,4.4731,3.5359,3.3551,3.9432,3.3948,0
3.2758,4.3969,3.817,3.336,3.4858,3.1847,0
3.3979,4.4232,2.943,3.5784,3.9744,3.8577,0
2.6786,3.4922,2.1514,2.5736,2.7653,3.142,0
3.8235,4.4986,2.8434,4.0527,3.5341,4.0082,0
3.307,4.3454,3.8869,3.2152,3.6175,3.5661,0
2.7442,4.3763,4.0099,3.7274,4.3005,3.9227,0
2.6374,3.8936,2.2973,2.3369,2.844,2.8866,0
3.0012,4.2007,3.1432,2.6284,3.3247,2.9686,0
3.1341,4.5916,3.9093,3.7022,4.5485,3.8315,1
3.0843,4.1033,2.5941,3.3548,3.5033,3.5134,0
3.1121,3.8489,2.506,2.9321,3.142,3.1094,0
3.8949,4.5093,3.1784,4.1584,3.8382,3.9683,0
2.5207,3.7039,1.9431,2.5809,2.9461,2.6534,0
3.9522,4.7199,2.5851,4.1227,3.6237,3.9877,0
4.0167,4.9819,3.1282,3.8477,3.8906,3.9173,0
2.4498,3.5132,2.2155,2.6884,3.0522,3.08,1
3.1757,4.0674,3.6161,2.9305,3.142,3.2271,0
2.7678,4.1766,2.5458,2.8133,3.0868,3.041,0
3.2236,4.0802,3.6148,3.2654,3.3538,3.4142,0
2.4142,3.2489,1.5905,2.337,2.3296,2.2224,0
3.1013,4.282,2.5237,3.3408,3.613,3.1647,0
2.8906,4.0594,2.3683,3.2177,3.5091,3.4783,0
2.8672,3.7357,2.3676,2.9802,3.6046,3.6364,0
3.8232,4.6155,2.8972,4.0427,3.664,3.9208,0
3.0876,4.1164,3.6795,3.2627,3.3599,3.4646,0
3.2628,4.4429,2.9432,3.2619,3.4237,3.4319,0
2.6993,4.0728,2.592,2.9117,3.1943,3.1433,0
2.3316,4.0795,3.1789,2.4992,4.1832,3.7271,0
3.0571,4.3592,3.414,3.3812,3.8306,3.9875,0
2.8938,4.2544,3.6816,3.0332,3.6658,3.4721,0
2.518,3.881,2.5674,2.7027,3.3017,3.3854,0
2.6014,3.9673,3.7057,3.1159,3.3453,3.4601,0
3.0088,4.2608,3.4219,3.2983,3.6124,3.5732,0
3.3918,4.4958,3.936,3.6688,3.887,3.6378,0
3.3056,4.5548,2.813,3.9736,4.1454,4.0602,0
2.9665,4.0762,2.5499,3.3076,3.5212,3.6078,0
3.7286,4.4853,3.6736,3.5386,3.6698,3.5067,0
3.7398,4.351,3.8423,3.1754,3.6791,3.5422,0
3.4094,4.488,3.423,3.5032,3.794,3.2228,0
2.9902,4.0535,2.9571,3.3509,3.5728,3.5899,1
2.9259,3.6786,2.4406,3.096,3.1898,3.1749,0
3.2897,4.5145,3.9292,3.2747,3.8546,3.6388,0
3.3524,4.3635,3.2539,3.3493,3.7021,3.0732,0
3.7495,4.5699,2.7034,3.7284,3.5367,3.5495,0
2.8543,3.232,2.3711,2.6186,2.3004,2.8004,0
3.171,4.3988,2.765,3.4865,3.8692,3.4393,0
3.3601,3.5845,3.2596,2.9456,2.5672,2.3116,0
3.5364,4.7416,2.9429,3.7838,4.3156,4.078,0
2.9618,3.8235,2.1983,3.3827,3.4966,3.2951,0
3.5158,4.6419,3.0131,3.7463,3.892,3.723,0
2.1905,3.4659,1.9675,2.75,2.8652,2.9568,0
2.4414,3.2654,1.8747,2.684,2.7354,2.8278,0
3.4759,4.2639,2.7864,3.4185,3.5073,3.3155,0
3.4833,4.5937,2.916,3.7584,4.0492,4.0156,0
3.2956,4.7004,3.948,3.4873,4.1221,3.7458,0
3.6671,4.6258,3.0681,3.9303,4.003,4.1589,0
2.3716,3.4736,2.2353,2.6881,2.7888,2.7321,0
3.3482,4.4732,3.1131,3.9142,4.1238,3.7127,0
3.9306,4.8829,3.3933,3.8533,4.1793,4.0615,0
2.4056,3.405,2.4924,2.4256,2.6995,3.2049,0
2.9403,4.3452,3.3765,3.4475,3.9834,3.6372,0
3.746,4.7734,2.8949,3.7949,4.043,3.5578,0
3.6716,4.8603,2.973,3.7462,4.2619,3.8964,0
2.6668,4.0172,2.4378,3.2593,3.8176,3.6845,0
4.1066,4.6188,3.0607,3.6847,3.4877,3.4754,0
3.0493,4.0848,2.8773,3.1833,3.4741,3.5457,0
3.4811,4.5622,3.8244,3.5988,4.0812,3.6161,1
2.7638,3.7839,2.6212,2.7905,2.9704,3.1974,0
